股票代码,页码,标题,时间
300010,1,大佬们，8.6的本，年府前还有望回本吗？不会阴跌到两三块儿吧。,04-04 10:46
300010,1,9.57，跌38个点了啊，这是要腰斩了,04-04 11:40
300010,1,什么时候才能解套6.3真难,04-02 04:42
300010,1,老夫掐指一算，这股应该改名，你敢斗神，早完晚完早晚都的完,04-03 09:10
300010,1,迟早回3元，还有9亿融资盘加10W散户，都等着被套个四五年吧，不说不定明年就退市,04-03 06:23
300010,1,最近一直在读关于AI大模型方面的资料，可以确认的是当前处于第四次工业革命！在大模,04-03 02:21
300010,1,转融通来了割韭菜,04-03 05:29
300010,1,下周一肯定不会跌了,04-03 04:19
300010,1,垃圾股～～～～,04-03 03:05
300010,1,我亏了11个点了,04-03 10:32
300010,1,S在这里了，永远都解不了套了。不脱层皮不放出去了。,04-03 01:40
300010,1,窦昕8毛照样赚几倍，12月底解股大赚吃肉,04-03 02:25
300010,1,成交量比24年9月22日之前都低了真台亮的是好股市！,04-03 02:12
300010,1,看这样子缩量底背离，直接躺平，不买不卖放假几天，,04-03 02:06
300010,1,我不担心它随大盘下跌，我担心的是大盘上去，它回不去！每次都这样,04-03 01:44
300010,1,5.932000万,04-03 01:59
300010,1,这个位置，可以入了，算朱莉发福利,04-03 01:40
300010,1,还好是创业板，板块拉升了，这还,04-03 01:37
300010,1,中国高科和行动教育的主力高度控盘，不跟大盘走势，其他的都不行,04-03 01:31
300010,1,玛德，教育板块真垃圾,04-03 01:15
300010,1,到5.79补一半,04-03 01:09
300010,1,下午能不能红？,04-03 12:23
300010,1,跌一两毛，涨一两分，,04-03 01:04
300010,1,这3人真的都没本事？,04-03 11:49
300010,1,抢筹码动作要快,04-03 11:31
300010,1,要晕倒了！天天跌，没有希望！,04-03 09:35
300010,1,屡创新低，跌回2块我来抄底,04-03 11:12
300010,1,今天能不能高看一眼啊,04-03 11:12
300010,1,这个小台阶下的特别有节奏感。,04-03 11:10
300010,1,今天怎么感觉这个强势？,04-03 09:58
300010,1,股市要不就别开了开了也是量化在里面割大家都去买基金算了,04-03 11:03
300010,1,亏了18个点了，继续靠,04-03 10:28
300010,1,我晕，几年不看这公司，年年亏损，还没ST啊？,04-02 07:53
300010,1,大盘又要回去了，豆豆还在这位置,04-03 10:39
300010,1,龙头，行动教育。这个是真垃圾,04-03 10:17
300010,1,连续跌了几个月,04-03 10:15
300010,1,无底洞了,04-03 10:04
300010,1,废股,04-03 09:51
300010,1,大概率还要创新低,04-03 09:47
300010,1,唉,04-03 09:44
300010,1,恶心到我了,04-03 09:34
300010,1,好垃圾,04-03 09:30
300010,1,今天是5块8设置好了,04-03 09:16
300010,1,豆神教育：融资净偿还159.64万元，融资余额9.17亿元,04-03 09:04
300010,1,5.35元继续买进，有大肉吃。,04-02 05:57
300010,1,我要让豆神这辈子都上不了10元,04-03 12:07
300010,1,我服了，这次真是彻底被豆神教育了。9.04买挂在了珠峰，想着也跌的差不多了，我在,04-02 10:07
300010,1,明天再跌就补仓,04-02 09:10
300010,1,大家都别卖了，抗住，没有成交量就不会下跌了，坚持住黎明就快到了,04-02 01:55
300010,1,每次跌的时候，我就深深的感觉这是一个龙头股！！啥玩意儿。,04-02 03:45
300010,1,咱们公司的董秘不出来讲几句？,04-02 05:58
300010,1,不要以为3月是大跌月，4月就没事儿了，也许3月才是开胃菜，4月才是主菜上来了，不,04-02 04:24
300010,1,明天是不是破前低,04-02 02:56
300010,1,扛不住了，6.90的本啊！我要割肉！,04-02 01:29
300010,1,永远回不来本这就是大A,04-02 01:39
300010,1,涨一分两分的涨跌一毛两毛的跌,04-02 01:33
300010,1,教育部：全面深入推动“人工智能+教育”,04-02 01:27
300010,1,还是行动教育和中公教育比较好，豆子和黑马都很垃圾,04-02 01:15
300010,1,又是托单,04-02 01:11
300010,1,豆神教育，助你倾家荡产！,04-02 11:47
300010,1,外出办事，归来早~先写贴，再去冲暖做饭。提酒上线~祝福大家好运~,04-02 12:19
300010,1,持有豆神教育，创业黑马，绿盟科技，，，一个月都没了20个点,04-02 12:15
300010,1,买它算是倒血霉了,04-02 11:59
300010,1,今天要破6？,04-02 12:14
300010,1,Token卖爆了！智谱交出亮眼“成绩单” 融资客已提前埋伏多股,04-01 07:49
300010,1,不是新官上任三把火嘛？火呢？,04-02 11:21
300010,1,正在按季k线布局，大家一定要有耐心,04-01 09:44
300010,1,无人问津，是买入还是卖出呢,04-02 10:41
300010,1,漂亮,04-02 11:17
300010,1,新的下降通道开启。,04-02 09:46
300010,1,6.071000万,04-02 10:15
300010,1,吸血的股市,04-02 10:08
300010,1,整个教育板块都死气沉沉,04-02 10:35
300010,1,这股的走势一直跌4.25就看能不能扛,04-02 10:29
300010,1,真让人绝望,04-02 10:20
300010,1,豆比的融资盘真能抗啊,04-02 09:36
300010,2,破5.79，下一个低点是4.28，兄弟加油,04-03 12:02
300010,2,5.8等你，快下来,04-03 10:44
300010,2,破6了，没有底线了！,04-03 09:48
300010,2,这把穿6就回不来了！哎,04-02 01:54
300010,2,昨天大涨才涨2分，今天跌也两三个点。窦短命鬼,04-02 02:23
300010,2,主要同花顺有个13B在晒单6.92的本买了近10万股，被量化监控到了，就不可能拉,04-01 11:37
300010,2,大盘跌3点，你也跌3个点，我也就不说你了！但你天天跌的多，涨的啥，啥意思,04-02 11:30
300010,2,大家反向做t吧,04-02 10:06
300010,2,老特影响的别急,04-02 10:06
300010,2,憋不住了，下来了,04-02 10:03
300010,2,只要买一买二买三大托单，肯定下跌,04-02 10:02
300010,2,这种股票就没有成交量就行,04-02 10:01
300010,2,最喜欢倒数第一了,04-02 09:32
300010,2,乌龟赶紧站后面去！脸皮比乌龟壳还厚,04-02 09:37
300010,2,每天倒数第一是必须的,04-02 09:42
300010,2,开盘倒数的第一,04-02 09:34
300010,2,集合竞价一结束就不用看了，稳稳的板块倒数前三,04-02 09:32
300010,2,优秀代表，涨最少，跌做多，哈哈,04-02 09:36
300010,2,这个收割套路持续一年多了。你亏活该，谁让你买的,04-02 09:36
300010,2,天天跌天天板块倒数尽早退市,04-02 09:33
300010,2,量化真的是无法无天，人怎么跟电脑玩？,04-02 09:33
300010,2,这孙子不装了，掉下来吧，好买点,04-02 09:29
300010,2,没涨一点，跌最猛,04-02 09:28
300010,2,ggg,04-02 09:24
300010,2,大盘涨时，没你什么事，大盘跌时，你永远不落下的,04-02 09:24
300010,2,豆神教育：融资净偿还674.84万元，融资余额9.19亿元,04-02 08:55
300010,2,今天卖出去了8台，什么概念，销量暴涨了25%,04-01 07:54
300010,2,我只知道北京豆神智创科技投了五个亿，豆神和智谱都不是吃饱了没事干的主,04-01 07:01
300010,2,不横上十天半月不会上的,04-01 02:26
300010,2,智谱不收购应该是没戏了,04-01 06:17
300010,2,大盘红你跌，大盘绿你跌，怎么样能涨啊,04-01 11:26
300010,2,散户多，深度套牢的多，涨点还不够砸的，短期不会涨，趁早换股。,04-01 04:59
300010,2,没几年起不来,04-01 03:06
300010,2,放心今天至少大涨1-2分。,04-01 01:53
300010,2,请个神仙来管理都救不了豆渣，已经烂根了,04-01 02:47
300010,2,看了斗神直播间，就知道这股有多垃圾,04-01 02:37
300010,2,智谱9怎么会看上豆神呢？,04-01 02:25
300010,2,无人能奈何得了你,04-01 02:30
300010,2,不值钱的董事长，谁也救不了,04-01 01:06
300010,2,又错过普涨机会，大庄不让涨，总是压盘，这股没法涨了,04-01 10:53
300010,2,6。8的本，割了，挺不住了,04-01 02:13
300010,2,年报之后就是ST豆神,04-01 02:13
300010,2,被ST股同化了！,04-01 02:03
300010,2,[大笑],04-01 02:03
300010,2,普跌大跌，普涨，小跌实在不行退市吧,04-01 02:00
300010,2,快退市吧，退退退退退退退退退吧？,04-01 01:58
300010,2,主力资金是肯定在出的这是无可非议的事，十大流通股东资金也在出去也是事实，可以看资,04-01 01:58
300010,2,资金正在往里面走，一定要坚持住。,04-01 11:02
300010,2,垃圾,04-01 01:56
300010,2,讲几句！1，唐先生荣任豆神董事长是带着任务来的。请看下浙文互联的实控人！2，窦先,04-01 01:52
300010,2,豆比在忙啥呢，也不请头部流量主播带一下豆神机器人,04-01 01:45
300010,2,大家坐稳扶好了啊！我准备7个亿开始拉涨停了，给大家乐呵乐呵,04-01 01:42
300010,2,智普有个词元，豆神也有个辞源，怎么差距这么大呢？,04-01 01:35
300010,2,垃圾还是垃圾,04-01 01:32
300010,2,这个股票最近10天不会大涨也不会大跌。就这样磨。。。。。,04-01 01:22
300010,2,港股智普涨超30%，minimax大涨超15%了，牛逼牛气冲天港股智普涨超30%,04-01 12:07
300010,2,10:47:20【教育部发布新版国家智慧教育公共服务平台】教育部日前召开国家教育,04-01 10:50
300010,2,今天真强大怒涨1分钱,04-01 11:19
300010,2,一定要坚持，二季度要爆涨,04-01 10:56
300010,2,此股伤透了，没有人气了，涨点也没人跟,04-01 11:21
300010,2,我藏，豆瘸子真历害，竞然这么下流！,04-01 11:21
300010,2,完全符合你的气质！知道你有多杂毛了嘛,04-01 11:20
300010,2,这股完全没希望。,04-01 10:59
300010,2,赶紧跑不跑全埋里,04-01 11:14
300010,2,这是家里吗,04-01 11:12
300010,2,割肉走咯，弱者恒弱，找强势的个股回本去。等它启动，别人都在外面吃的满嘴流油了,04-01 11:03
300010,2,真是豆瘸子股！,04-01 11:01
300010,2,明天可想而知大盘调整，真是犊子,04-01 10:58
300010,2,窦毕教育,04-01 10:51
300010,2,哈哈，就问问你们，服不服气,04-01 10:09
300010,2,真差劲！,04-01 10:45
300010,2,现在全是散户买，主力已经放弃这里，量化在这里玩,04-01 10:40
