页码,标题,作者,时间
6,18.18的黄金分割点，耐心等待,未知,04-02 10:18
6,大家都在等着和去年一样的大跌，去年4月8日大跌超15%。可怕的是清明节！不再是2,未知,04-03 01:31
6,券商是市场最大的空头,未知,04-02 01:53
6,@妙想东方财富什么时候才能跌到头？,未知,04-03 06:34
6,每天磨一磨,未知,04-03 01:30
6,东财转债4何时发布？,未知,04-03 01:29
6,快跌,未知,04-03 01:29
6,可以正式宣布了，补周K缺口。,未知,04-03 01:29
6,天天创新低。怎么办？,未知,04-03 01:29
6,大宗交易18.15都还没跌破呢,未知,04-03 01:28
6,会不会又和之前一样，下跌至9.8元啊？马的买进就下跌，还券茅脸要不要了…,未知,04-03 01:27
6,管不手，今天又补仓了,未知,04-03 01:27
6,看到券商被打压，我觉得好可怕，因为美欧国家每次上涨都会带动一下资金股票。这种打压,未知,04-03 01:26
6,昨天猜的今天最低会探到18.55元，己经到这儿了但趋势未止，看来俺还是太善良了。,未知,04-03 01:26
6,量化时代，不再需要坐庄拉升，天天震荡拉高出货就行了,未知,04-03 01:25
6,收盘V上来,未知,04-03 01:25
6,真,未知,04-03 01:25
6,跌的都看不见了，,未知,04-03 01:24
6,汪汪队队好不容易赚钱跑了，不会回来的，踩踏继续,未知,04-03 01:23
6,18.5T仓65000倍入尾盘竞价t出,未知,04-03 01:23
6,18.58十倍增仓。开新仓更佳。破31,未知,04-03 01:23
6,要,未知,04-03 01:21
6,再跌只有加仓干了，大富大贵就在眼前,未知,04-03 01:21
6,跌破所有的线,未知,04-03 01:21
6,要,未知,04-03 01:21
6,连续下跌8个月，也是牛plus,未知,04-03 01:20
6,连跌8个月，你能怎么办,未知,04-03 01:20
6,带头砸了,未知,04-03 01:19
6,今天证券跌的少，抗跌,未知,04-03 01:19
6,16快了,未知,04-03 01:19
6,现在咋办？？,未知,04-03 01:18
6,都套死了，压根不买也不卖,未知,04-03 01:17
6,还在创新低……,未知,04-03 01:17
6,融资盘还没爆,未知,04-03 01:17
6,机构基金清仓了证券板块，千万散户太惨了,未知,04-03 11:17
6,现在18，然后是16，下去补缺口咯。,未知,04-03 01:09
6,还要跌，因为我又加仓了,未知,04-03 01:08
6,如期来到18块。,未知,04-03 01:08
6,破18补一下仓,未知,04-03 01:05
6,的,未知,04-03 01:05
6,9块再来,未知,04-03 01:01
6,散户最爱的股票,未知,04-03 01:01
6,30.44成本，L4巅峰满仓满融至今降到L3入门槛，整整1年半融资利息高达20万,未知,03-26 02:13
6,能卖的都卖了，陪伴严重套牢的洞猜蛊友。赔钱也赔到洞猜上！,未知,04-03 12:56
6,今天还会有新低吗等你,未知,04-03 11:11
6,30的本，割肉了，不关住了，跌傻了，借来的钱，等不了了,未知,03-27 11:55
6,4.7号基金解禁，亏损20必须止损，快跑吧，开盘必跌5个点以上,未知,04-03 10:55
6,资金一直在流出，哪有可能涨上去？都散了吧……,未知,04-03 12:47
7,下午破17元,未知,04-03 12:47
7,他们说保护我们，引导中长期资金入市，我贷款八十万加上自己九十万全仓22.3买入东,未知,04-03 11:59
7,每天都跌,未知,04-03 12:44
7,东财节后会暴力拉升，信则有不信则无！,未知,04-03 11:41
7,一季度业绩怎么样,未知,04-03 11:54
7,月线8连阴了，估计要连,未知,04-03 11:52
7,看股吧风向就知道离反转不远了,未知,04-03 11:39
7,技术分析,未知,04-03 12:00
7,券商今天不护盘吗,未知,04-03 11:48
7,无底洞，没有底……空仓等,未知,04-03 12:20
7,现在获利盘是0.00%,未知,04-03 12:09
7,昨天试买100股，不咋行，今天赔了13元卖了,未知,04-03 12:15
7,28的本，20年都回不了本了,未知,04-03 11:17
7,20.9的本，想割掉一半，又不舍得，大家都多少本还在坚持的,未知,04-03 11:23
7,=24元百亿资金认购！大胆买入比存银行强多了！补仓阶段,未知,03-23 04:33
7,关键时刻,未知,03-19 08:41
7,24.5成本买入80W，20融资30W，现在净资产58W,未知,04-03 11:37
7,已经躺平，随便跌，大不了继续补,未知,04-03 11:34
7,下午必定是暴风雨，今天一定是非常难看，现在没跑的，都在幻想下午能拉起来，但是下午,未知,04-03 11:16
7,主力使劲砸哈，已经做好重回十元的准备,未知,04-03 11:27
7,去年到现在，行情打压到这个价位，请问上面地人满意了没？,未知,03-13 03:05
7,进程加快了。成交量要起来，要么拉反弹（抄底资金会跑），要么指数崩盘，高位大票自救,未知,04-03 11:33
7,急吼吼问一句，传说中的周K缺口……,未知,04-03 10:17
7,最后一洗/尾盘拉起/涨停板进行曲！,未知,04-03 10:46
7,招呼先打在前面，还有10个点以上的下调空间，做好准备……,未知,04-03 11:49
7,继续新低，15能到吗,未知,04-03 11:48
7,你还要跌啊，你这有底没有，,未知,04-03 11:47
7,如不出意外，下午会去考验18.18的支撑。,未知,04-03 11:46
7,当初建设工业40的时候，我让跑都硬抗，30的时候我让跑都骂我，现在跌到20了。,未知,04-03 11:45
7,已经躺平，赶紧砸盘，砸到1元才好，让我平摊下成本。,未知,04-03 11:45
7,别幻想了，科技不止跌，老登券商股也好不了。,未知,04-03 11:28
7,主力醒醒，下午到3850该起来护盘了,未知,04-03 11:18
7,18.68十倍增仓开新仓更佳已满仓的拿好筹码。这波破31,未知,04-03 11:19
7,东方财富:东方财富信息股份有限公司第七届董事会第二次会议决议公告,未知,03-19 08:44
7,最近一年熊牛一目了然，3月份以来一直说，cpo受外围影响跟随调整都是买入机会，4,未知,04-03 11:40
7,每天要不就是老太太下楼梯，要不就是起挂杀的走势,未知,04-03 11:24
7,五日线下一定要清仓，等到五日线上再进一点也不迟，同花已经跌了一点五了，早跑少亏,未知,04-03 11:20
7,今天有想法么,未知,04-03 11:33
7,价格打到10元基本上可以把融资盘干崩,未知,04-03 10:56
7,现在还没走的，要套三年了,未知,04-03 11:29
7,真的要去补缺口了吗？,未知,04-03 11:28
7,涨要涨过，跌要跌透，这波看13元,未知,04-03 11:27
7,去年4月份和前年10月份的大平台跌破，已经没有支撑了，现在缩量20000亿以下，,未知,04-03 11:25
7,一天不待涨，你就不叫废财。,未知,04-03 11:22
7,东方财富为啥跌这么狠,未知,04-03 11:11
7,为什么不让发这个图,未知,04-02 02:48
7,成本23，仓位6成，不买不卖，军3年,未知,04-03 11:09
7,躺平等风来,未知,04-03 11:11
7,留下的发财吧，我是亏怕了，只跌不涨的垃几，没必要跟，等15元再接回吧,未知,04-03 10:57
7,一定要狠心清了它，一天一个低点。,未知,04-03 11:16
7,可有意思？一直跌几个月了？,未知,04-03 11:16
7,没人买了,未知,04-03 11:16
7,东方财富九个月下跌,未知,04-03 11:15
7,玛德，都到2024年的3000以下价位了,未知,04-03 11:14
7,等下一个十年之约,未知,04-03 11:14
7,据观察，长期资本只有套牢的散户。量化是不可能成为长期资本的。某队也不是，4000,未知,04-03 11:12
7,今天不可能拉的，老特每到周末总是发空消息，4.7号解禁基金无条件强平，现在都剩散,未知,04-03 11:12
7,拉一下能累死你不？,未知,04-03 11:08
7,今天有点坚挺，就不知道能不能顶得住,未知,04-03 11:08
7,千万别急，别急啊，161616,未知,04-03 11:02
7,等11块,未知,04-03 11:07
7,今年从现在开始只买券商股，下一轮涨幅最大也只能是券商股。大约还有一个月的调整，耐,未知,04-03 11:07
7,砸到10元,未知,04-03 10:58
7,机构是要把散户吃尽,未知,04-03 11:03
7,天天阴跌，,未知,04-03 11:03
7,伤不起。太难了，天天创新低,未知,04-03 11:03
7,指出今天出现了在缺口位置，选择了向下的一个回踩，3900点关口很重要，明天，和下,未知,04-02 06:40
7,至于这么垃圾嘛，19买地也能被套,未知,04-03 10:57
7,18.70十倍增仓开新仓更佳,未知,04-03 10:56
7,都是小散买，主力卖。主力还是看不到希望。,未知,04-03 10:56
7,哈哈哈哈哈哈,未知,04-03 10:53
7,赶紧跌破1868，破了我就走。,未知,04-03 09:39
7,致敬勇敢的压舱石们！！！,未知,02-09 11:07
7,这已经超出洗盘的范畴了,未知,04-03 10:19
7,更低和最低之间你选择了更低,未知,04-03 10:51
7,一直压证券，终于带着大盘一起奔赴了,未知,04-03 10:50
8,又是阴跌个大半年真好。,未知,04-03 10:50
8,以前的证券板块先不论涨跌如何，至少还有护盘功能，现在好像他除了收割散户，打压指数,未知,04-03 10:49
8,还好我跑得快。,未知,04-03 10:48
8,今天得夸你两句，抗跌了,未知,04-03 10:48
8,不用装的，现在没人来接盘，15能站稳在说,未知,04-03 10:48
8,天天都是新低,未知,04-03 10:47
8,早上又骗我买了5000股,未知,03-31 11:00
8,中国证监会常用电话•全国统一热线（投诉/举报/咨询）：12386时间：工作日9:,未知,04-03 10:21
8,目前为止还不是买入的时候,未知,04-03 10:45
8,躺倒了，每天跌嘛,未知,04-03 10:45
8,没有想到,未知,04-03 10:44
8,放假又不拉，你放假干球啊,未知,04-03 10:43
8,易中天加油加油加油加油冲冲冲,未知,04-03 10:43
8,18.66就是底,未知,04-03 10:42
8,合理估值是多少？1500-1800亿，到这个区间再谈抄底。,未知,04-03 10:42
8,连跌八个月你真是没谁了,未知,04-03 10:07
8,今天怎么抗跌了啊,未知,04-03 10:00
8,看月线，还有5-10个点下跌空间！17.5左右抄底，加油,未知,04-03 10:03
8,继续往死里砸,未知,04-03 10:40
8,要成没有成交量的仙股了，每天热度这么高，都是散户在叫,未知,04-03 10:38
8,连跌8个月了，一点也不反弹的吗？,未知,04-03 10:38
8,4月17前股价跌破17，有赌的吗,未知,04-02 03:04
8,每天喜闻乐见缩量创新低，不暴量不关注，无效时间太长，波动过小，T都懒得T,未知,04-03 10:36
8,大哥，节前必须红盘啊,未知,04-03 10:36
8,东方财富19元以下值得中线布局！,未知,03-30 10:00
8,做价值投资，就是选一些估值低，但未来潜力无限的股票,未知,04-03 10:35
8,在车上远比买的便宜重要。,未知,04-03 10:34
8,坐等16元,未知,04-03 10:34
8,看尾盘有没有机会。下跌动能似乎有减弱之势，今天尾盘的机会挺大的。,未知,04-03 10:34
8,一分一分向上抢筹建仓。涨停后结束建仓节奏不挂定位单不贪便宜,未知,04-03 10:33
8,"MD,今天必须大涨",未知,04-03 08:49
8,股票的暴利并不产生于生产经营，而是产生于股票市场本身的投机，低只想更低，高还想更,未知,03-24 11:49
8,18.7十倍增仓T仓50000倍入。开新仓更佳等涨停,未知,04-03 09:39
8,向下补缺了，16见,未知,04-03 10:32
8,经常有新低，说明这货没有到底。等着吧。,未知,04-03 10:32
8,我要是庄，我也不拉升，我就用零钱，慢慢的在19块钱左右，慢慢的吸收筹码。等吸收够,未知,04-03 09:49
8,抱歉各位，实在是受不了我套现了，不要骂我！,未知,04-03 10:31
8,给我砸啊，每天砸三个点最好,未知,04-03 09:54
8,马上分红了,未知,04-03 10:29
8,今天又绿几个点？？？？,未知,04-03 09:54
8,没最低，只有更低。唉，三十六计，适合那个？,未知,04-03 10:28
8,跌到十五抄底,未知,04-03 10:28
8,连续一直跌咋办,未知,04-03 10:27
8,大哥，可以买入了吗,未知,04-03 10:26
8,证券跟科技就必须得反着来呗？,未知,04-03 10:26
8,来吧，先到18.12，再补缺口，16附近我建仓,未知,04-03 10:25
8,高开低走，低开低走，总是往下走，头也不回。,未知,04-03 09:39
8,节后一个跌停16元附近见了,未知,04-03 10:25
8,连绿八个月,未知,04-03 10:24
8,你也争口气啰！不要常垫底！,未知,04-03 10:24
8,证券跌3个月，直接抄底得,未知,04-03 10:24
8,都是量化再出,未知,04-03 10:23
8,18.71元试错进场建仓88000股成交了！,未知,04-02 02:22
8,不难看出有加速赶底的迹象，跌破18的可能性50%，跌破16的可能性5%。计划从1,未知,04-03 09:37
8,一天就二个点到手了！！东财不融卷太浪费了，就是跌的不够快,未知,04-02 12:00
8,还会有新低,未知,04-03 10:20
8,继续创新底，百万散户加油，越跌越买,未知,04-03 10:18
8,终于熬到头了吗,未知,04-03 09:26
8,18的支撑看来不行了,未知,04-03 10:17
8,证券何时出手,未知,04-03 10:17
8,东方财富主力要砸到爽手为止？,未知,04-03 10:16
8,三千三券商才会发力,未知,04-03 10:16
8,这个节奏就对了,未知,04-03 10:16
8,18.7十倍抢筹增仓开新仓更佳。别贪低。给砸就大胆抢,未知,04-03 10:14
8,加油,未知,04-03 10:13
8,跌哭,未知,04-03 10:13
8,啥时候回到25啊，好累啊,未知,04-03 10:11
8,竟然还有人买券商啊，哈哈哈,未知,04-03 10:11
8,可以买了么,未知,04-03 10:11
8,18.68十倍增仓开新仓更佳水下越跌越买十倍增仓建仓t仓60000倍入,未知,04-03 10:10
8,天天新低,未知,04-03 10:10
8,哈哈坐等15梭哈,未知,04-03 10:09
8,股市里赚钱，不可能的，尤其在这个东西身上薅毛更难，它已连跌7月，28周内下跌，市,未知,04-03 10:09
8,下方仅剩18.18一个支撑,未知,04-03 10:09
8,又新低了哎,未知,04-03 10:09
8,这牛市除了易中天其它都是陪衬,未知,04-03 10:09
8,天天创新低,未知,04-03 10:08
8,$东方财富(SZ300059)$,未知,04-03 10:07
8,不破不立，不破18.2一手都不买,未知,04-03 10:07
9,这走势还有谁,未知,04-03 10:07
9,还差两分钱,未知,04-03 10:07
9,弄下来老鲨鱼又再整点相因的便宜筹码！继续弄！,未知,04-02 01:50
9,每天不管是低开还是高开，就是往下走,未知,04-03 10:05
9,离岸人民币持续升值保CPO等大票，保美股护城河，保定价权。除非大量股民举报这些公,未知,04-03 10:04
9,又是新低,未知,04-03 10:04
9,绿九个月了,未知,04-03 10:03
9,继续下跌的走势。继续观望。,未知,04-03 10:01
9,今日大盘-3%，创业板-6%,未知,04-03 09:59
9,跌到17块左右分红，大家管住双手，分红后有可能更低，别被割了,未知,03-26 10:50
9,不天天创新底都不习惯了,未知,04-03 09:42
9,来个爆量跌停加速赶底，15入手,未知,04-03 09:55
9,你今年不涨，明年也不涨，我看你30年涨不涨，继续跌，继续跌，跌倒5元。,未知,04-03 09:30
9,每天都在创新低，每天出不完的货,未知,04-03 09:54
9,该补的缺口补上吧，撑着难受……,未知,04-03 09:52
9,跌到这份上是不可以建仓了,未知,04-03 09:50
9,不补缺口跌不休,未知,04-03 09:50
9,兄弟们涨一个点记得做t,未知,04-03 09:50
9,哈哈哈指数都干不过,未知,04-03 09:49
9,东方财富每天都是跌的时候最多下涨的时候最少,未知,04-03 09:48
9,每次一大早就拉证券的行情90%都是大跌的日子，而且证券也不持续，盘中都会转跌,未知,04-03 09:47
9,今天东财雄起,未知,04-03 09:47
9,唉！靠你护盘的啊！天天绿，怎么办,未知,04-03 09:46
9,我不卖是不会涨的,未知,04-03 09:45
9,的天天降,未知,04-03 09:44
9,大家都别买也别卖了哇让主力自己玩,未知,04-03 09:43
9,每天送它三个字…,未知,04-03 09:33
9,机构是清仓基金了吧？,未知,04-03 09:42
9,券商分仓佣金榜出炉！一波“身小黑马”狂飙惊人,未知,04-01 01:16
9,不到十五以下都是套,未知,04-03 09:40
9,天天砸盘,未知,04-03 09:40
9,感觉破17可以进点了…熬不住了，赶紧吧,未知,04-03 09:40
9,继续创新底,未知,04-03 09:35
9,今天谁把我融卷给融完了昨天都还有8800股的！搞得我不能做空了,未知,04-03 09:38
9,随波逐流,未知,04-03 09:37
9,诱多,未知,04-03 09:36
9,$东方财富(SZ300059)$,未知,04-03 09:35
9,求求你 ，别红了,未知,04-03 09:35
9,今天估计又是冲高回落，高开低走！,未知,04-03 09:34
9,稳稳的高开低走，资金难道要博弈清明没有幺蛾子？,未知,04-03 09:32
9,你敢涨，我就敢T，涨少了T，涨多了清仓。绝不期待证券大行情。,未知,04-03 09:32
9,证劵今天不会又是替人罒的一天？,未知,04-03 09:31
9,该涨了，跌了这么久了,未知,04-03 09:27
9,今日高点,未知,04-03 09:28
9,准备15接,未知,04-03 09:28
9,听说你买就跌，昨天18.7建仓，不会套我吧,未知,04-03 09:19
9,现在是19元左右变成顶了，再过一个月18元见顶，17、16、15.....,未知,04-03 09:27
9,冲高就要跑主力没安好心上面成千上万被套的散户就是砧板上的肉,未知,04-03 09:26
9,我A刚一集合竞价，A50就来个断崖，何解？,未知,04-03 09:18
9,今天又是新低,未知,04-03 09:21
9,券商向来不破不立，不破18.12一手都别买,未知,04-03 09:14
9,断崖下跌暴布,未知,04-03 09:23
9,今天18.68加一点吧,未知,04-03 09:23
9,$东方财富(SZ300059)$,未知,04-03 09:23
9,跌一级算一级,未知,04-03 09:22
9,今天会高开低走,未知,04-01 08:07
9,开盘就融券卖出，然后收盘来看就是惊喜,未知,04-03 09:11
9,六年了，股价就涨了一块钱，最高光的时候成交量达到900亿，股价也才到31翻倍都没,未知,04-03 03:42
9,机构预测普遍乐观：综合多家券商观点，预测2026年一季度归母净利润约30亿元，同,未知,04-03 08:18
9,韭菜都是这么想的，结果筹码都在散户手里了,未知,04-03 08:55
9,过二天就来个新低，我朋友手持该股被套，想低买拉低点成本，我劝他等反弹再入手，现在,未知,04-03 08:05
9,全部绿色,未知,04-03 08:53
9,对于我们国家，可以没有中国中车，但是不可以没有东方财富啊！,未知,04-03 07:48
9,该股盘子巨大，前期涨幅过大，宜观望为宜！,未知,04-03 08:46
9,都别犟了，熊市已来，看到11元，不服来辩,未知,04-03 08:22
9,券商股得4500点以上才有机会！,未知,04-03 08:31
9,浏览沪60分钟线，显示近2周的反弹，走了较完整的上升3波，接下来的回撤波段，有可,未知,04-03 08:28
9,加仓了金融一哥，了解我的一定知道是啥，就买最贵的，涨的最快的，地位最高的。,未知,03-30 10:47
9,跌下去如洪水猛兽，涨上来像细雨蝼蚁,未知,04-03 07:23
9,$东方财富(SZ300059)$,未知,04-03 08:20
9,这种走势16.45-16.52缺口要回补了,未知,04-03 08:07
9,这个票有爆仓或者强平的吗？,未知,04-02 07:45
9,散户不能买证卷，证卷公司自己融资融券可以掋押贷款出来买其他股票一个作用，所以自己,未知,04-03 07:53
9,目标5元看能不能稳住，完美的下跌通道,未知,04-03 06:29
9,东方财富总市值3900亿元，中国中车总市值1700亿元，东方财富相当于两个大国重,未知,04-03 07:48
10,15都止不住，，，看吧，人性割起肉来都是很疯狂的,未知,04-03 06:23
10,账户里只剩下两只票，东财和三鑫，也想好了应对策略。东财这一波下跌回到去年4月7日,未知,04-02 07:00
10,会跌破18.12吗？,未知,04-02 08:02
10,多家券商，打起“靓号”牌,未知,04-01 08:18
10,天呐，几时是个头呀,未知,04-03 01:15
10,都在高抛低吸做t呢,未知,04-03 01:11
10,东财18.17再见,未知,04-02 11:44
10,明天涨停最后通知,未知,04-02 08:51
10,整整过去5年。这个战绩还算可以吧？历史帖子可查证。东财的朋友不要灰心，以我的经验,未知,04-02 04:43
10,月线8连跌，真狠！,未知,04-03 12:43
10,最少还有10几个点的跌幅,未知,04-03 02:27
10,18.32。跌破了，我就没了,未知,04-02 11:22
10,月线双头,未知,04-03 01:03
10,全是套牢盘，继续创新低吧,未知,04-03 12:11
10,再来两个跌停差不多可以买了,未知,04-02 11:48
10,16.86这个巨大的缺口你补不补?历史上从没留下过未补的缺口。等四五月份4000,未知,03-09 02:06
10,跌破18立马再补一倍的仓位,未知,04-02 11:24
10,四月份到九块,未知,04-02 11:19
10,我今天又一次全仓卖出，我感觉底部就要到来了，但是我出的原因是今天在这么多个股下跌,未知,04-02 11:17
10,怕了，跌的太很了，还能张起来了吗，大神指点，,未知,04-02 11:17
10,这股会20cm一字涨停吗？为什么一定要套在里面，为什么要做不等涨起来愿追就追，不,未知,04-02 10:17
10,跌破12块，从哪里来回哪里去,未知,04-02 10:11
10,又要到9元,未知,04-02 11:05
10,至少还有五十的下调空间，不急慢慢等,未知,04-02 11:03
10,估计要跌到15左右，大家安心等待吧。10元涨到30元，30元跌到15，然后再涨，,未知,04-02 06:10
10,我感觉李嘉诚和巴菲特要来A股炒牛市预期，因为手里那么多现金不可能存银行吃低息的不,未知,04-02 10:58
10,我这也说吧，证券既爱又很，此股业绩可以，必涨，但是在这个没有行情的行情里，你选择,未知,04-02 10:05
10,这玩意等战争结束再来看了。,未知,04-02 10:37
10,为什么一直强调的有效跌破20日要减仓，企稳也要3天站稳5日线呢，1月19号有效跌,未知,04-02 10:06
10,大脑瓜子嗡嗡的吧，等着5浪诛心来捡尸体不香吗？,未知,04-02 06:39
10,人气越高，股价越跌，反着走势,未知,04-02 10:30
10,明天见今年低点下跌结束！,未知,04-02 09:53
10,还早呢！,未知,04-02 09:56
10,朋友们，18.18元能止跌吗，我准备筹集10万元资金补仓，这个位置会跌到吗,未知,04-02 09:41
10,下跌空间还有大约百分之二十左右吧。,未知,04-02 09:49
10,东方财富已经跌到去年4月7号的低点，当时大盘3000点，现在大盘3900点，整个,未知,04-02 09:35
10,上次说的股价18.6以上才能看多，企稳也要3天站上5日线才好，,未知,04-02 09:43
10,股吧各种股神,未知,04-02 09:30
10,看看2024年9月启动时是什么位置！一波拉高一路阴跌,未知,04-02 09:36
10,抄底还早得很,未知,04-02 09:36
10,明天开盘不计成本出逃，直接比开盘低两个点挂卖单,未知,04-02 09:26
10,明天15,未知,04-02 08:23
10,自求多福吧,未知,04-02 09:23
10,又是四千多只股票待涨，这种行情，你有信心鸽了阿财买别的股就一定能赚钱？还是老老实,未知,04-02 03:58
10,风险很大，而且是连锁性的。。还没清仓的保重吧！,未知,04-02 08:53
10,北向资金天天卖，外资都不看好，内资也在跑路，没资金托底，股价只能一路向南,未知,04-02 08:51
10,这个时候不要想着抄底，不要补仓,未知,04-02 08:46
10,什么时候可以买,未知,04-02 08:38
10,下面的兄弟，为什么要买他，这么多票,未知,04-02 08:42
10,又向9.81靠近一步，希望今年能看到,未知,04-02 08:41
10,A股三大指数收报：3919.29，13486.94，3172.65。沪深京三市成,未知,04-02 08:37
10,什么时候割都是对的。,未知,04-02 08:19
10,逆势投资不容易，因为人们要求的明日下周见效，满地股票都在大幅度反弹，今天感觉错过,未知,03-24 07:39
10,破18.83底部强背离,未知,04-02 12:53
10,进来就亏了，稳住，稳住。,未知,04-02 08:21
10,入场好机会大跌之时买1手不知道底所以要谨慎，资金是有限的，套深了就不能玩了,未知,03-04 11:26
10,亏麻了，必须打持久战，21.69的成本，估计年内难回本,未知,04-02 08:16
10,发个批评的评论还不行，呵呵,未知,04-02 08:15
10,高位30元，可能调到月线90均线股16元以下止跌,未知,04-02 08:18
10,@东方财富核心数据（截至2026-02-28，官方披露）A股股东总户数（≈散户户,未知,04-02 08:09
10,23块多买的，一路补，一路跌，涨起来三瓜两枣，跌起来倒是丝滑，业绩不差，把价值投,未知,04-02 07:00
10,应该要到16块附近了！,未知,04-02 07:41
10,千万别割在最低点，已经是极限了，准备每跌5％加10万，你们不割肉大家就一起耗着,未知,04-02 07:13
10,我是大学生，让我解套一下,未知,04-02 07:35
10,100%套牢盘，啥情况,未知,04-02 08:02
10,基金接的那部分马上到期，到期风控必须止损，超过20%了，融资盘得爆,未知,04-02 03:37
10,电脑关了，2027年7月7日再看。届时千万富翁等你！,未知,04-02 11:09
10,旭日升朝阳起的帖子全部删除了？,未知,03-16 10:54
10,看看我去年三月份的观点吧！在大家都绝望的时候，本人坚信牛市才刚刚开始，尽管因为人,未知,03-22 08:58
10,券商提前减持套现，都在创新低，还是券商看的清楚，市场形势还会继续打破前低，,未知,04-02 07:37
10,抄底价18.94元，赔了，这又怎样，有本事一辈也到不了20元。,未知,04-02 07:33
11,今天抄底了,未知,04-02 07:31
11,宁德时代等高位大票还在去年2月底的位置，后面1个月多月是最危险的，特别是证券电力,未知,04-02 07:13
11,我明天进场试一铬铁，18.7先开5000股,未知,04-02 07:03
11,20260402,未知,04-02 07:12
11,证券板块最厉害的龙头都如此走法，其他的就忽略不计了，根本没有必要了。估计东方财富,未知,04-02 03:03
11,跌这么多还有人觉得是牛市？？,未知,04-02 05:17
11,13.3再来,未知,04-02 06:54
11,量化之所以有差价因为技术派有很明显的规律，而基本面同样是，大家觉得盈利好这就是规,未知,03-26 01:52
11,流的太多了，流一地！,未知,04-02 06:27
11,即将大阳,未知,04-02 06:05
11,炒股只为回本,未知,04-02 06:37
11,还幻想不？,未知,04-02 06:36
11,股息率才0.5，东吴证券4.7东方还有的跌,未知,04-02 06:19
11,静神呢快出来安慰下要受不鸟了从29唱多到18这周要到17？,未知,04-02 06:19
11,我感觉到一股极强的杀气，4.7号带头重演？,未知,04-02 06:22
11,【今年3月A股新开户数460.14万户,未知,04-02 06:27
11,台阶为18—16.86—15，,未知,04-02 06:25
11,22的本，还要坚持吗？,未知,04-02 06:16
11,更大的暴风雨还没来呢，接下来几个大的风险点都在一步步靠近,未知,04-02 06:13
11,拾伍才是合理价值,未知,04-02 05:50
11,越来越低了,未知,04-02 05:50
11,18满仓抄底，放半年！,未知,04-02 04:28
11,东方财富粉碎机，18.80虚挂两万手托单真杀到了瞬间撤单并且托单转卖单，18.8,未知,04-02 04:43
11,北斗星通炒了很多年，几次大的赢利，最近60+以上清仓了，一周前开始喊大家分批建仓,未知,04-02 05:36
11,越来越低了,未知,04-02 05:36
11,东财月线打开真没有跌过8个月的，已经套牢上顶了，只能等下个牛市了，不急用钱的不用,未知,04-02 05:32
11,看香港证券尾盘5分钟的放量跳水，明天券商又了,未知,04-01 05:23
11,历史总是惊人的相似，券商小牛市后必定大熊市，大家可以参考2009年小牛市后的20,未知,04-02 03:28
11,从29.36跌到18.75，跌了快40%了，还没止跌信号,未知,04-02 04:42
11,这轮牛市证券跌的有点多,未知,04-02 05:13
11,31-18.75=12.25，2.25/31=0.3951613，已回撤39.5,未知,04-02 04:48
11,真惨啊！从来没有过！,未知,04-02 05:23
11,券商向来不破不立，不破18.12就一手都别买。,未知,04-02 05:21
11,管住手，严格执行！,未知,04-02 03:26
11,连续跌了8个月，该股是否已经进入了技术性熊市？哪位大神点拨指导分析一下？,未知,04-02 05:06
11,跳大神的还有吗？继续杀,未知,04-02 05:14
11,每天晚上来看技术分析，但是我不买,未知,04-02 05:12
11,九连阴吧,未知,04-02 05:11
11,欲哭无泪,未知,04-02 05:11
11,羡慕你们，天天拿着亏钱就行了，不用想着买哪个科技，哪个医药赚钱,未知,04-02 01:22
11,28的还能回去吗？巅峰了吧,未知,04-02 03:47
11,兄弟们都开通融券吧，百万散户,未知,04-02 04:32
11,成交量一天比一天低，根本没资金愿意进场，就靠散户互相割，阴跌磨底的日子还长着呢,未知,04-02 04:57
11,股吧里全是骂声，100多万散户全被套牢，情绪彻底冰点，没人敢买，股价只能阴跌。,未知,04-02 04:33
11,割了，25.8的成本，实在是扛不住了,未知,04-02 03:24
11,每天都有近20%净流出，机构牛逼,未知,04-02 04:50
11,简单按上一波跌幅量度，可以看16附近的支撑力度,未知,04-02 04:49
11,空头动能完全没衰竭，这时候进场就是送钱，等金叉再说吧兄弟们。,未知,04-02 04:31
11,现在全是存量资金博弈，根本没增量，东财这么大的盘子，没大资金拉，只能慢慢磨,未知,04-02 04:39
11,散户真可怜，大盘3900，券商已经跌回2900了。,未知,04-02 04:37
11,/券商6月开启补涨大涨行情！每次回落是加仓好机会！换入券商,未知,04-01 12:45
11,今天是破了周线重要支撑18.92,未知,04-02 04:35
11,这垃圾不破16看都不要看，没有资金来碰券券，腰斩了可以做反弹，仅只是做反弹,未知,04-02 04:34
11,东财这走势太狠了，从29块多一路干到18块多，所有均线全是向下的，现在抄底纯纯接,未知,04-02 04:31
11,买入评级倒是挺多，但机构估计都跑了，散户硬扛有啥用啊，太惨了。,未知,04-02 04:30
11,问题是做轿子的人多了，谁给抬呀！可冷的散户只能做多才赚钱…,未知,04-02 04:29
11,还我钱，我不玩了,未知,04-02 04:09
11,月线7连阴。,未知,04-02 04:26
11,跌到15差不多可以建仓了,未知,04-02 04:25
11,无底限,未知,04-02 04:22
11,4.7还要大跌10个点,未知,04-02 04:20
11,什么浪，什么分析都没用，散户多，100多万散户，这一条谁来也没用。,未知,04-02 04:14
11,我在你的软件里面炒股买基金，你叫我投票，我的意见就是你为什么不涨？,未知,04-02 04:08
