股票代码,页码,标题,时间
300004,1,4.3分享持有：出：特发信息新进：,04-03 01:44
300004,1,缩量没人玩了剩下的躺平，,04-03 02:10
300004,1,有一种软件叫ps,04-03 04:03
300004,1,快点爽快跌下来，我在十元等你，抄底把亏损的赚回来，,04-03 03:35
300004,1,南风己经买人敢买他，吃人的庄家,04-03 01:45
300004,1,11年前最高价跌下来，我知道你在里面，我在等上你几年也不怕。我也不看盘。还有什么,04-03 11:12
300004,1,主力，我在华泰买的，8块的本，有能耐你砸20个点，要不然明年清明就是你的周年,04-03 01:19
300004,1,南风从3.74起来的，现在12多，已经4倍多了，有些人拿十几倍几十倍的股票比，翻,04-03 08:30
300004,1,忽悠你接盘的还坚守，她有本事的话，3块多就入了，3块多不入13块多入你跟？机构目,04-03 12:16
300004,1,NND，换手率0.7%，股价跌了3.22%。量化真不是人。,04-03 10:21
300004,1,股吧里只要出现一个两个那种所谓的大v唱多，看吧，绝对没好。你们就不能悄悄的干点人,04-03 10:07
300004,1,高开作妖,04-03 09:31
300004,1,南风股份：南方增材3D打印业务正在推进中,04-02 08:10
300004,1,4.1今作继续持有这三支具备增长潜力，我满怀期待，相信随着后续市场的发展，达,04-01 10:39
300004,1,南方增材二期项目原计划25年底或26年初进行验收，现在4月份还没有完成相关工作，,04-02 04:44
300004,1,沟庄,04-02 12:20
300004,1,福建板块活跃强势，看看海峡创新，今天安妮没有动，张小泉还好,04-02 06:12
300004,1,散户的优势在这种时候就体现出来了！兰花指一点，就跑了！但是主力资金呢？跑给谁？只,04-02 10:27
300004,1,波澜壮阔啊,03-30 02:36
300004,1,我猜今天继续高开低走,04-02 06:52
300004,1,今天核聚变爆发，南风涨停,04-02 06:29
300004,1,啥时候启动,04-01 01:16
300004,1,市盈率过高了，等跌倒10-11可以进场，在飘一飘吧,04-01 11:03
300004,1,大盘逆子啊，涨成这样你却不争气，也没很多散户在里面，老庄也装死,04-01 10:38
300004,1,买了你也是够倒霉,04-01 10:55
300004,1,真tm恶心,04-01 10:41
300004,1,无语了，外围涨上去，这个还在跳水,04-01 10:16
300004,1,开始下跌！,04-01 10:27
300004,1,瞧瞧这个鬼样子,04-01 10:22
300004,1,今天千万不要追高,04-01 10:13
300004,1,不是,04-01 10:11
300004,1,……,04-01 09:53
300004,1,昨天卖飞了,03-31 10:40
300004,1,都去神剑了,03-31 10:05
300004,1,长江水下通高铁，通风处理数南风！,03-30 09:08
300004,1,潜力不小，一旦酝酿到位两个涨停问题不大,03-29 03:51
300004,1,吧里的老人怎么都不见了，没有人说话,03-30 01:46
300004,1,后期可能两个涨停,03-29 03:53
300004,1,下周能不能给机会再回去，次次都t飞,03-28 12:09
300004,1,老庄在无量对倒左手买右手卖制造涨幅引诱散户跟风，货还没出完呢！一个做鼓风机的能吹,03-27 10:52
300004,1,$南风股份(SZ300004)$,03-28 05:51
300004,1,没得量，虽然涨了，但是不健康。我今天盈利4点先出了，下周看上不上量,03-27 03:28
300004,1,20日均线能否突破？,03-27 11:23
300004,1,趋势已走坏了，反弹的高点随时走都是对的。等二个月左右走势修复后再进不迟。,03-27 10:26
300004,1,刺激哦！冲锋,03-27 10:18
300004,1,还要再下台阶,03-27 09:26
300004,1,回调缩量，加仓干,03-26 09:11
300004,1,谢谢主力,03-25 11:11
300004,1,今天这量怎么这么小，代表什么吗？,03-26 02:10
300004,1,出了个研报，看来要寸草不生了,03-26 11:32
300004,1,招人还是在招，只不过这个工资可能比较难招到人。,03-26 09:18
300004,1,这种量能走势绝对还要向下寻底，逢高减仓。,03-26 11:27
300004,1,南风与中国广核有关系么,03-26 10:04
300004,1,别被南方增材3D误导，业务只占1%吧，99%的业务是通风系统，中的标都是中核系中,03-25 01:46
300004,1,一大早起来都在唱多，我就知道要完蛋,03-26 09:03
300004,1,最前沿的商业航天概念,03-26 08:38
300004,1,$南风股份(SZ300004)$,03-26 08:28
300004,1,刚刚噩梦惊醒，静娜身中两枪难道南风股份今天还要跌吗,03-25 05:18
300004,1,应该会冲到20左右,03-25 09:21
300004,1,南风股份。。。。。。,03-25 08:15
300004,1,兄弟们我还在啊你们都还好吗？,03-25 05:47
300004,1,反弹费劲，跌起来要命的跌,03-25 01:27
300004,1,南风股份：南方增材3D打印业务正在推进中,03-25 12:44
300004,1,南方增材二期项目进度缓慢，除了决策层估计不足以外，是否还受到在设备调试中还要继续,03-25 11:30
300004,1,液冷真的在这次前就走完了吗？南风贴合江顺。但是你的技术比他成熟，资质又好。怎么比,03-25 10:21
300004,1,这里面的主力特别聪明，每次都是提前起动。跌的时候提前跑，涨的时候小心翼翼。只能说,03-24 10:12
300004,1,加油冲，站上五日线然后冲涨停,03-25 09:53
300004,1,如果今天还是小阴小阳，向下破位的概率就很大。,03-25 09:22
300004,1,现在大家要去找今天大跌而且这2年来没怎么涨的票，牛市要换一批股开始涨了，接下来一,03-23 11:00
300004,1,明天能否涨停？,03-24 04:11
300004,1,什么叫牛逼佛山板块排倒数第一,03-24 09:08
300004,1,大盘暴涨，满屏皆红。请表达一下你现在的心情！,03-24 03:08
300004,1,不要幻想什么签单，不要想什么突然利好公告来个涨停，股票走成这样，说明年线10.5,03-24 05:30
300004,2,一点抵抗没有，庄拿了4倍利润，出货了,04-03 09:46
300004,2,大家不要跟，我最了解这个主力资金,03-27 11:12
300004,2,天呐！这只股票还在12元上面呀！这个庄家还不跳吗？他是傻了吧！布伦特原油又上10,03-26 03:35
300004,2,$南风股份(SZ300004)$,03-26 08:27
300004,2,原油又拉起来了哈！不出意外今晚暴涨到95美元哦！,03-25 02:03
300004,2,涨一丢丢是要表达主力不好意思的心情吗,03-25 01:41
300004,2,我回来了,03-24 11:08
300004,2,怎么会这样，究竟造了多大的孽。万股普涨修复中，国企，连续由17.88跌至12元后,03-24 09:40
300004,2,简直太过分了，不是人干的事,03-24 03:37
300004,2,可能是业绩支撑不到现在的股价,03-24 02:59
300004,2,大盘大涨，逆风而行,03-24 02:50
300004,2,进去建仓！不知道对不对？不管东南西北风？逮着老鼠就是好猫！还有和我一样看法的吗？,03-24 02:19
300004,2,北京科锐，陕西国际医学。今天涨幅没有达到5%，不看！,03-24 01:54
300004,2,僵尸股,03-24 01:46
300004,2,给机会跑的呀，别怪主力，送你上路的都是贪恋,03-24 01:31
300004,2,什么情况啊,03-24 12:20
300004,2,何德何能啊踩了这么大一坨,03-24 01:08
300004,2,买到鬼了,03-24 11:50
300004,2,此股已进ICU,03-24 11:21
