代码	    名称	市盈(动)	市净率	总市值
SZ300149	睿智医药	545.1	4.11	5153927300
SZ300150	世纪瑞尔	56.07	1.98	3112764200
SZ300151	昌红科技	124.8	5.19	8062183600
SZ300152	ST新动力		7.26	1710720000
SZ300153	科泰电源	161.5	9.05	8220800000
SZ300154	瑞凌股份	27.97	2.02	3609928300
SZ300155	安居宝		2.17	2654607200
SZ300157	新锦动力	46.69		4893055700
SZ300158	振东制药	222.9	1.67	6053048600
SZ300159	*ST新研			10167401000
SZ300160	秀强股份	18.98	1.65	4328499200
SZ300161	华中数控		3.56	5470125800
SZ300162	雷曼光电	314.4	4.16	3716858900
SZ300163	先锋新材	16.72	3.68	2161440000
SZ300164	通源石油	120.2	6.18	9009301600
SZ300165	天瑞仪器		1.95	2487468900
SZ300166	东方国信		2.75	16113252000
SZ300167	ST迪威迅		78.46	2254475500
SZ300168	万达信息		6.49	7995488600
SZ300169	天晟新材			2066740700
SZ300170	汉得信息	100.8	3.53	19524540000
SZ300171	东富龙	62.34	1.39	10936024400
SZ300172	中电环保	45.4	1.92	3708370800
SZ300173	ST福能		3.29	3181362300
SZ300174	元力股份	25.09	1.67	5772734200
SZ300175	ST朗源		5.62	2900128000
SZ300176	鸿特科技	74.13	2.87	2734202400
SZ300177	中海达		4.01	6050094500
SZ300179	四方达	125	8.31	9923339900
SZ300180	华峰超纤	82.03	2.21	10425476100
SZ300181	佐力药业	16.12	3.52	10962684000
SZ300182	捷成股份	53.63	1.81	15183806000
SZ300183	东软载波		2.05	6351623500
SZ300184	力源信息	59.8	3.03	12431146900
SZ300185	通裕重工	120.3	1.96	13440420000
SZ300187	永清环保	25.34	2.96	3337866600
SZ300188	国投智能		3.42	10571570900
SZ300189	神农种业	964.2	9.96	7270400000
SZ300190	维尔利		1.24	3705620700
SZ300191	潜能恒信		11.58	12297600000
SZ300192	科德教育	49.4	6.21	6089151600
SZ300193	佳士科技	18.8	1.75	4024310900
SZ300194	福安药业	21.95	1.09	4865923600
SZ300195	长荣股份	357.2	1.18	3169334000
SZ300196	长海股份	20.86	1.54	7160719800
SZ300197	节能铁汉		5.29	5189271600
SZ300198	ST纳川		148	2733603600
SZ300199	翰宇药业	175.3	25.69	16675596000
SZ300200	高盟新材	38.46	2.45	3999431400
SZ300201	海伦哲	45.6	6.35	10726133500
SZ300203	聚光科技		2.11	6022058600
SZ300204	舒泰神		16.48	14347510000
SZ300205	*ST天喻		2.62	2571734900
SZ300206	理邦仪器	24.81	3.46	7581996600
SZ300207	欣旺达	24.85	1.87	46574528000
SZ300209	行云科技		9.37	9286361300
SZ300210	森远股份	361.1	9.84	4062605400
SZ300211	*ST亿通		5.28	2449673600
SZ300212	易华录		30.26	8228370400
SZ300213	佳讯飞鸿		2.11	4636044300
SZ300214	日科化学	618.1	1.37	3310106600
SZ300215	电科院		3.01	5910353100
SZ300217	东方电热	38.98	1.86	7818498000
SZ300218	安利股份	20.67	2.17	3345939500
SZ300219	鸿利智汇	49.74	1.9	5040557800
SZ300220	金运激光	1567	33.27	2095632000
SZ300221	银禧科技	41.33	3.12	4576470300
SZ300222	科大智能	102.7	4.8	8296478000
SZ300223	北京君正	133.8	4.04	50328997000
SZ300224	正海磁材	42.67	2.55	13113568900
SZ300225	*ST金泰	102.3	2.78	2400919400
SZ300226	上海钢联	35.03	3.65	7824610900
SZ300227	光韵达		4.43	6005836900
SZ300228	富瑞特装	24.03	2.3	5544109100
SZ300229	拓尔思		3.94	15602870000
SZ300230	永利股份	17.73	1.18	3838367400
SZ300231	银信科技	70.9	3.06	4980511100
SZ300232	洲明科技	44.03	1.6	7405515100
SZ300233	金城医药	120.8	1.46	5339695500
SZ300234	开尔新材	113.4	2.7	3114629000
SZ300235	方直科技	338.4	4.56	3177042500
SZ300236	上海新阳	76.56	4.47	23020998000
SZ300237	ST美晨			3359661800
SZ300238	冠昊生物	157.7	6.74	3839454600
SZ300239	东宝生物	59.65	1.91	3241099300
SZ300240	飞力达	59.02	1.77	2612087500
SZ300241	瑞丰光电	66.15	2.02	4516701800
SZ300242	佳云科技		11.34	2995100700
SZ300243	瑞丰高材	97.96	2.96	3183316200
SZ300244	迪安诊断	152.6	1.78	11537120400
SZ300245	天玑科技		3.45	4173083600
SZ300246	宝莱特		3.41	3950555200
SZ300247	融捷健康	41.88	3.29	3714666200
SZ300248	新开普		2.27	4820645700
SZ300249	依米康	192.5	21.24	7096261600
SZ300250	初灵信息	561.9	8.48	4445989200
SZ300251	光线传媒	14.49	4.2	45118590000
SZ300252	金信诺	823.9	3.97	8667593700
SZ300253	卫宁健康		3.29	18588288000
SZ300254	仟源医药	97.02	9.82	2888340600
SZ300255	常山药业		22.64	34354496000
SZ300256	星星科技		8.38	7780589300
SZ300257	开山股份	68.55	4.2	27791971000
SZ300258	精锻科技	56.45	1.46	6915258400
SZ300259	新天科技	21.05	1.73	5275804800
SZ300260	新莱应材	96.29	8.97	18644925000
SZ300261	雅本化学		3.03	6088115900
SZ300263	隆华科技	40.39	2.31	9718709200
SZ300264	佳创视讯		408	3972506300
SZ300265	通光线缆	208.9	3.88	8949889600
SZ300266	兴源环境		119.2	4055437100
SZ300267	尔康制药	153.6	1.81	8106037100
SZ300268	*ST佳沃			2313376000
SZ300269	联建光电	163.7	37.05	3981075200
SZ300270	中威电子		5.76	3246080600
SZ300271	华宇软件		1.47	5382636300
SZ300272	开能健康	38.76	3.43	4928443900
SZ300274	阳光电源	23.22	6.71	3.12557E+11
SZ300275	梅安森	63.53	3.56	3354175200
SZ300276	三丰智能	191.9	4.89	9695217500
SZ300277	汽轮科技	5284	2.41	27678037000
SZ300278	华昌达	407.6	3.67	6475600200
SZ300279	和晶科技	51.2	4.31	4470369300
SZ300281	金明精机	234.9	2.22	2802598800
SZ300283	温州宏丰	151.6	3.41	3816792700
SZ300284	苏交科	78.13	0.978	8233637100
SZ300285	国瓷材料	46.9	4.37	30609383000
SZ300286	安科瑞	30.31	2.77	6219459400
SZ300287	飞利信		5.75	6186030100
SZ300288	朗玛信息	233.6	3.87	4207370500
SZ300289	利德曼		2.23	3655757200
